collocation,count,count_nested,length,lambda,z
made up,18,0,2,4.929130263879497,17.951257332028728
republican senators,24,0,2,8.831190628807349,17.93530324232464
for the,180,0,2,1.4984273574601144,17.88696307851316
highest level,11,0,2,7.381538026910965,17.72958201216345
press conference,13,0,2,9.119752553661868,17.68882395398072
he is,52,0,2,2.7568492129543603,17.68857625586711
other countries,12,0,2,6.302194447272504,17.586622576316465
open borders,11,0,2,7.386924991304797,17.536979625992846
out of,50,0,2,3.039085942211333,17.507976425418725
🇺🇸 🇺🇸,19,0,2,4.52565868329227,17.489318232835558
people who,26,0,2,3.791951174950991,17.450263232251167
no longer,20,0,2,6.364942942308317,17.428713734238105
the @whitehouse,77,0,2,3.8675594200009398,17.381248087422115
this morning,27,0,2,6.367346534990217,17.362396360143567
york times,11,0,2,8.488538092276638,17.350654582388987
cut bill,12,0,2,6.373857516552335,17.306211380172186
for our,73,0,2,2.1951599383484295,17.245403648145743
i want,32,0,2,3.484742491651845,17.233714658028546
great again,26,0,2,4.192278463949432,17.23178552257345
@whitehouse today,14,0,2,5.7466419879841,17.09485887058726
into our,30,0,2,3.6441892837997134,17.076085739662012
national anthem,22,0,2,8.356923462257082,17.069229385979966
chuck schumer,15,0,2,9.9445869111848,17.015204395178348
donald trump,15,0,2,6.064389697939163,16.954360283723737
very good,22,0,2,4.049048287306923,16.951145809785515
russian witch,11,0,2,6.155832093851181,16.882953939367756
RT @foxnews,20,0,2,4.7379751105822665,16.801407283509068
with north,30,0,2,3.5838417906579787,16.787761981312926
#usa 🇺🇸,25,0,2,8.043047821074857,16.781687858078804
middle east,12,0,2,9.388068059759911,16.757487841259493
middle class,11,0,2,9.08461168641705,16.74382097849287
is doing,34,0,2,3.5936558574792343,16.735999801070374
consumer confidence,11,0,2,9.161585607180186,16.71825713360133
minister abe,12,0,2,7.827369505840665,16.701755791241826
the world,69,0,2,3.721024864034919,16.687535585600145
far more,15,0,2,5.374616932232547,16.687463550301256
ever before,12,0,2,5.614902901542462,16.650952426126963
trade deals,14,0,2,7.154423082028893,16.631341522958355
nancy pelosi,16,0,2,10.207777963628285,16.60121175048689
billion dollars,10,0,2,6.5236543664122255,16.591353210840484
would have,28,0,2,3.4734194132128033,16.555917922528003
talking about,18,0,2,6.706365787711912,16.52244421727968
russian collusion,11,0,2,5.894184801069134,16.496863123559113
